FactKey,BusinessKey,DateKey,KPIKey,Value,Target,DataQualityFlag,Source_Note
31,1,20250201,31,2749220,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
32,1,20250201,32,3170480,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
33,1,20250201,33,3591740,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
34,1,20250201,34,47,40,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
35,1,20250201,35,94.93,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
36,1,20250201,36,97.59,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
37,1,20250201,37,73.75,95,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
38,1,20250201,38,10,8,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
39,1,20250201,39,79.06,93,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
40,1,20250201,40,81.72,92,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
41,1,20250201,41,84.38,98,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
42,1,20250201,42,87.04,97,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
43,1,20250201,43,41,35,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
44,1,20250201,44,92.35,95,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
45,1,20250201,45,95.01,94,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
46,1,20250201,46,97.67,93,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
47,1,20250201,47,4,3,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
48,1,20250201,48,10,8,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
49,1,20250201,49,79.14,97,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
50,1,20250201,50,81.8,96,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
51,1,20250201,51,84.46,95,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
52,1,20250201,52,87.12,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
53,1,20250201,53,42,36,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
54,1,20250201,54,92.43,92,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
55,1,20250201,55,54,46,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
56,2,20250201,1,47,40,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
57,2,20250201,2,53,45,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
58,2,20250201,3,59,50,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
59,2,20250201,4,4,3,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
60,2,20250201,5,10,8,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
61,2,20250201,6,16,14,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
62,2,20250201,7,22,19,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
63,2,20250201,8,0,0,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
64,2,20250201,9,2,2,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
65,2,20250201,10,41,35,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
66,2,20250201,11,47,40,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
67,2,20250201,12,53,45,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
68,2,20250201,13,193,164,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
69,2,20250201,14,0,0,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
70,2,20250201,15,10,8,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
71,2,20250201,16,0.039,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
72,2,20250201,17,0.1093,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
73,2,20250201,18,0.2413,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
74,2,20250201,19,2,2,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
75,2,20250201,20,5.5,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
76,2,20250201,21,0.7975,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
77,2,20250201,22,81.9,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
78,2,20250201,23,1,1,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
79,2,20250201,24,0,0,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
80,2,20250201,25,10,8,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
81,2,20250201,26,16,14,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
82,2,20250201,27,23,20,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
83,2,20250201,28,29,25,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
84,2,20250201,29,4.87,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
85,2,20250201,30,3590900,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
86,2,20250201,31,4012160,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
87,2,20250201,32,4433420,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
88,2,20250201,33,4854680,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
89,2,20250201,34,4,3,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
90,2,20250201,35,76.4,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
91,2,20250201,36,79.06,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
92,2,20250201,37,81.71,96,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
93,2,20250201,38,29,25,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
94,2,20250201,39,87.03,94,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
95,2,20250201,40,89.69,93,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
96,2,20250201,41,92.35,92,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
97,2,20250201,42,95,98,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
98,2,20250201,43,60,51,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
99,2,20250201,44,73.82,96,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
100,2,20250201,45,76.48,95,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
101,2,20250201,46,79.14,94,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
102,2,20250201,47,23,20,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
103,2,20250201,48,29,25,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
104,2,20250201,49,87.11,98,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
105,2,20250201,50,89.77,97,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
106,2,20250201,51,92.43,96,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
107,2,20250201,52,95.08,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
108,2,20250201,53,60,51,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
109,2,20250201,54,73.9,93,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
110,2,20250201,55,11,9,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
111,3,20250201,1,4,3,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
112,3,20250201,2,10,8,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
113,3,20250201,3,16,14,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
114,3,20250201,4,22,19,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
115,3,20250201,5,28,24,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
116,3,20250201,6,35,30,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
117,3,20250201,7,41,35,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
118,3,20250201,8,0,0,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
119,3,20250201,9,3,3,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
120,3,20250201,10,59,50,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
121,3,20250201,11,4,3,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
122,3,20250201,12,10,8,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
123,3,20250201,13,67,57,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
124,3,20250201,14,1,1,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
125,3,20250201,15,29,25,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
126,3,20250201,16,0.0842,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
127,3,20250201,17,0.1755,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
128,3,20250201,18,0.3466,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
129,3,20250201,19,3,3,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
130,3,20250201,20,7.45,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
131,3,20250201,21,0.2031,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
132,3,20250201,22,15.5,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
133,3,20250201,23,0,0,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
134,3,20250201,24,1,1,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
135,3,20250201,25,29,25,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
136,3,20250201,26,35,30,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
137,3,20250201,27,41,35,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
138,3,20250201,28,47,40,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
139,3,20250201,29,6.82,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
140,3,20250201,30,4853840,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
141,3,20250201,31,1075100,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
142,3,20250201,32,1496360,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
143,3,20250201,33,1917620,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
144,3,20250201,34,23,20,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
145,3,20250201,35,84.37,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
146,3,20250201,36,87.03,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
147,3,20250201,37,89.68,97,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
148,3,20250201,38,48,41,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
149,3,20250201,39,95,95,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
150,3,20250201,40,97.66,94,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
151,3,20250201,41,73.82,93,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
152,3,20250201,42,76.47,92,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
153,3,20250201,43,17,14,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
154,3,20250201,44,81.79,97,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
155,3,20250201,45,84.45,96,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
156,3,20250201,46,87.1,95,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
157,3,20250201,47,42,36,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
158,3,20250201,48,48,41,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
159,3,20250201,49,95.08,92,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
160,3,20250201,50,97.74,98,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
161,3,20250201,51,73.89,97,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
162,3,20250201,52,76.55,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
163,3,20250201,53,17,14,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
164,3,20250201,54,81.87,94,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
165,3,20250201,55,29,25,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
166,4,20250201,1,22,19,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
167,4,20250201,2,28,24,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
168,4,20250201,3,35,30,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
169,4,20250201,4,41,35,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
170,4,20250201,5,47,40,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
171,4,20250201,6,53,45,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
172,4,20250201,7,59,50,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
173,4,20250201,8,0,0,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
174,4,20250201,9,1,1,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
175,4,20250201,10,16,14,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
176,4,20250201,11,22,19,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
177,4,20250201,12,29,25,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
178,4,20250201,13,121,103,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
179,4,20250201,14,3,3,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
180,4,20250201,15,47,40,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
181,4,20250201,16,0.1293,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
182,4,20250201,17,0.2416,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
183,4,20250201,18,0.1018,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
184,4,20250201,19,1,1,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
185,4,20250201,20,2.91,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
186,4,20250201,21,0.4587,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
187,4,20250201,22,44,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
188,4,20250201,23,0,0,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
189,4,20250201,24,3,3,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
190,4,20250201,25,47,40,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
191,4,20250201,26,54,46,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
192,4,20250201,27,60,51,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
193,4,20250201,28,4,3,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
194,4,20250201,29,2.28,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
195,4,20250201,30,1916780,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
196,4,20250201,31,2338040,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
197,4,20250201,32,2759300,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
198,4,20250201,33,3180560,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
199,4,20250201,34,41,35,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
200,4,20250201,35,92.34,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
201,4,20250201,36,94.99,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
202,4,20250201,37,97.65,98,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
203,4,20250201,38,4,3,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
204,4,20250201,39,76.47,96,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
205,4,20250201,40,79.13,95,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
206,4,20250201,41,81.78,94,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
207,4,20250201,42,84.44,93,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
208,4,20250201,43,35,30,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
209,4,20250201,44,89.76,98,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
210,4,20250201,45,92.42,97,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
211,4,20250201,46,95.07,96,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
212,4,20250201,47,60,51,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
213,4,20250201,48,4,3,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
214,4,20250201,49,76.55,93,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
215,4,20250201,50,79.21,92,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
216,4,20250201,51,81.86,98,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
217,4,20250201,52,84.52,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
218,4,20250201,53,36,31,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
219,4,20250201,54,89.84,95,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
220,4,20250201,55,48,41,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
221,5,20250201,1,41,35,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
222,5,20250201,2,47,40,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
223,5,20250201,3,53,45,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
224,5,20250201,4,59,50,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
225,5,20250201,5,4,3,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
226,5,20250201,6,10,8,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
227,5,20250201,7,16,14,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
228,5,20250201,8,0,0,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
229,5,20250201,9,2,2,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
230,5,20250201,10,35,30,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
231,5,20250201,11,41,35,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
232,5,20250201,12,47,40,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
233,5,20250201,13,175,149,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
234,5,20250201,14,4,3,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
235,5,20250201,15,4,3,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
236,5,20250201,16,0.0244,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
237,5,20250201,17,0.0878,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
238,5,20250201,18,0.207,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
239,5,20250201,19,2,2,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
240,5,20250201,20,4.86,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
241,5,20250201,21,0.7143,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
242,5,20250201,22,72.6,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
243,5,20250201,23,0,0,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
244,5,20250201,24,4,3,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
245,5,20250201,25,4,3,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
246,5,20250201,26,10,8,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
247,5,20250201,27,16,14,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
248,5,20250201,28,23,20,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
249,5,20250201,29,4.23,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
250,5,20250201,30,3179720,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
251,5,20250201,31,3600980,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
252,5,20250201,32,4022240,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
253,5,20250201,33,4443500,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
254,5,20250201,34,60,51,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
255,5,20250201,35,73.8,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
256,5,20250201,36,76.46,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
257,5,20250201,37,79.12,92,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
258,5,20250201,38,23,20,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
259,5,20250201,39,84.44,97,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
260,5,20250201,40,87.09,96,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
261,5,20250201,41,89.75,95,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
262,5,20250201,42,92.41,94,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
263,5,20250201,43,54,46,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
264,5,20250201,44,97.73,92,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
265,5,20250201,45,73.88,98,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
266,5,20250201,46,76.54,97,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
267,5,20250201,47,17,14,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
268,5,20250201,48,23,20,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
269,5,20250201,49,84.52,94,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
270,5,20250201,50,87.17,93,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
271,5,20250201,51,89.83,92,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
272,5,20250201,52,92.49,,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
273,5,20250201,53,54,46,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
274,5,20250201,54,97.81,96,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
275,5,20250201,55,5,4,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
276,6,20250201,1,59,50,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
277,6,20250201,2,4,3,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
278,6,20250201,3,10,8,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
279,6,20250201,4,16,14,"OK","Synthetic monthly dummy aligned to Converter_MIStoDB schema intent"
